Path,Nodes,Edges,Density,Baselb,RuntimeNano
Graphs\Kelk\graph01.txt,68,408,0.1791044776119403,3,2743584,
Graphs\Kelk\graph02.txt,40,183,0.23461538461538461,10,395946,
Graphs\Kelk\graph03.txt,60,447,0.25254237288135595,2
Graphs\Kelk\graph04.txt,75,302,0.10882882882882883,11,1159557,
Graphs\Kelk\graph05.txt,51,51,0.04,4,381561,
Graphs\Kelk\graph06.txt,866,18710,0.049953944118864224,54,1372315570,
Graphs\Kelk\graph07.txt,81,810,0.25,3,1474314,
Graphs\Kelk\graph08.txt,92,91,0.021739130434782608,2
Graphs\Kelk\graph09.txt,30,384,0.8827586206896552,16,853089,
Graphs\Kelk\graph10.txt,40,204,0.26153846153846155,4,507367,
Graphs\Kelk\graph11.txt,60,1389,0.7847457627118644,15,11938846,
Graphs\Kelk\graph12.txt,208,1248,0.057971014492753624,3,1256105,
Graphs\Kelk\graph13.txt,31,465,1.0,31
Graphs\Kelk\graph14.txt,80,292,0.09240506329113925,4,529553,
Graphs\Kelk\graph15.txt,17,45,0.33088235294117646,3,310856,
Graphs\Kelk\graph16.txt,55,482,0.3245791245791246,7,996204,
Graphs\Kelk\graph17.txt,10,15,0.3333333333333333,2,304761,
Graphs\Kelk\graph18.txt,194,2364,0.12627530580631377,3,9453943,
Graphs\Kelk\graph19.txt,190,3887,0.21648565859092175,31,33635177,
Graphs\Kelk\graph20.txt,42,126,0.14634146341463414,2,334994,
Graphs\Kelk\graph21.txt,212,252,0.011267101851023876,3,358643,
Graphs\Kelk\graph22.txt,456,1028,0.009909388856757278,3,730452,
Graphs\Kelk\graph23.txt,218,1267,0.05356614382953537,6,1309498,
Graphs\Kelk\graph24.txt,107,516,0.09098924351966144,4,582460,
Graphs\Kelk\graph25.txt,4007,1198933,0.1493807454528215,2
Graphs\Kelk\graph26.txt,529,271,0.0019404823280059576,2,566856,
Graphs\Kelk\graph27.txt,43,529,0.5858250276854928,8,1751037,
Graphs\Kelk\graph28.txt,107,4955,0.873743607829307,98,6355860,
Graphs\Kelk\graph29.txt,206,961,0.0455126687189202,3,1110551,
Graphs\Kelk\graph30.txt,166,197,0.01438481197517342,2,299885,
Graphs\Kelk\graph31.txt,164,889,0.06651204548855305,15,631221,
Graphs\Kelk\graph32.txt,744,744,0.0026917900403768506,2
Graphs\Kelk\graph33.txt,85,1060,0.2969187675070028,9,2851836,
Graphs\Kelk\graph34.txt,907,1808,0.004400407913919454,3,1475046,
Graphs\Kelk\graph35.txt,215,1642,0.0713757878722017,5,4362234,
Graphs\Kelk\graph36.txt,164,323,0.024165793805177315,2,696807,
Graphs\Kelk\graph37.txt,106,196,0.03522012578616352,8,429836,
Graphs\Kelk\graph38.txt,131,1116,0.13106283029947152,10,1428234,
Graphs\Kelk\graph39.txt,143,498,0.049049542007288484,11,1228554,
Graphs\Kelk\graph40.txt,387,2502,0.03349801180865165,8,57786179,
